f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,target
-2.75048,-0.5706165,-1.7999204,-1.3503577,-0.4106651,-1.1814711,2.5757475,0.17424244,0.9057437,-0.68711656,-0.07897428,0.9245777,-1.4794942,1.4875225,0.61376786,0.12348208,0.96114916,-1.7949123,-0.6622298,3.8889582,0.033911362,-0.8596558,0.88141084,-0.06652683,-0.019544244,-0.09834272,-2.4662466,-0.5460578,0.26082313,-0.019509524,0
-1.2667243,-0.59511006,-1.9963685,-1.9150695,-0.56628513,-0.49506643,2.734044,-0.2558238,-0.29439235,-1.2704612,-0.67805177,-0.7946261,-0.69588566,3.4992805,2.1883907,1.03743,0.31057447,-1.3139439,-1.5454639,2.7751477,0.7028665,-1.1424116,0.88367236,-0.12970427,-0.04652059,-0.32156527,-1.3176763,-0.5056232,-2.133996,-1.8533252,0
-2.5972579,-0.15704194,-1.3826566,-2.686779,-1.0320777,-1.8035483,0.38000476,-0.64841306,0.5249362,-1.1053135,-0.8136526,-0.31040117,-0.7216558,2.0904775,2.2289813,1.4752789,0.6624326,-1.5768309,-1.665463,0.7569287,-1.1795037,-0.28745216,-0.08297601,1.4255146,0.5810989,-0.6793275,-1.631348,-0.3998403,-1.6791412,-0.83091617,0
-1.9690748,0.03599927,-1.8581171,-1.0867558,0.9604221,0.52396286,1.6918731,-0.64636505,1.6145196,0.46273884,-0.21665266,0.7868357,-0.43029737,1.6358398,0.9117861,2.1549172,0.70551604,-2.771158,-0.79580206,0.029185385,-1.6843629,-1.0092473,-1.112669,-0.1660356,0.19976246,-1.2131771,-1.6315577,0.84199834,0.51438093,-2.5661244,0
-2.5126426,-0.32190442,-0.17346251,-0.8122689,-0.19990821,-0.24491253,2.8512552,-1.213398,1.18417,-1.6156596,-0.028946023,1.5174848,-1.0455616,1.7406636,0.10793758,1.8747919,0.52715665,-1.7293713,-0.9636542,2.8852873,-0.7673598,-1.1314112,0.4220856,-0.50048435,-0.19163465,-0.6663656,-2.2397995,1.1545217,0.03410721,-0.07745884,0
-2.2505295,0.14591661,-0.9962077,-1.6652015,0.30387598,0.22420654,0.8915814,-0.026206672,1.4118365,-1.7742295,0.30893472,0.85424566,-1.6536283,1.8369058,1.1730533,1.2499408,-0.5150763,-1.8507643,-0.20834887,2.1287296,-0.99001896,-1.9723372,0.5242382,0.10995495,-1.2206256,-0.651042,-2.5587876,-0.09770635,-0.49418944,-1.0559938,0
-3.4876816,0.3140867,-1.1811604,-0.28825796,-0.17237543,-0.88909984,2.4323761,-1.0634959,0.6854021,-0.93773305,0.5307819,-0.29565677,-2.088425,1.3842603,0.056160934,0.46109888,0.08759242,-2.2641976,-0.94967824,2.9618402,-0.5795408,-0.95031667,0.9317907,-0.5471883,-0.07784629,-0.49428082,-0.9063192,-0.22095373,0.17133534,-0.80137765,0
-2.0764656,-0.39402828,-0.97720575,-1.0866804,0.6962543,0.26413128,1.6464243,0.19617787,0.92261124,-2.0089505,0.4601807,0.2599225,-1.3373933,0.9772477,0.14791214,1.787648,-0.20684984,-2.5279138,-0.34113926,0.97388244,-0.92168,-1.4898026,0.17220473,-0.49198115,-1.066859,0.33306777,-2.7080162,0.264639,0.79908335,-0.46212137,0
-2.8077934,-0.14892426,-1.4376802,0.03487596,-0.14940953,-0.06560227,1.7672536,0.06252414,0.62676144,-1.3558171,0.40731138,-0.19707385,-1.0341268,2.2465382,0.07033292,2.3190823,0.21805447,-2.8832774,-0.9123335,1.2975712,-0.7530939,-1.2658765,0.015266269,-0.5197018,-0.7499919,0.69260156,-2.169495,0.28864196,1.166075,-0.720191,0
-3.151564,-1.2258058,-2.6649132,-1.5921621,0.3551032,-0.98497057,1.2565637,-0.4922173,0.25674844,-1.5363986,0.66309315,-0.57431066,-1.2521169,2.7582397,2.8306313,0.014566928,-0.23201182,-1.0109286,-0.8334373,2.504583,-0.30641901,-0.13780513,0.82274884,-0.4459547,-0.12655485,-2.3263817,-2.3344388,-0.875306,-0.6184145,0.0040067434,0
-3.6282177,-0.6263726,-1.939667,0.64074504,0.06680864,-0.65589654,2.4515085,-0.363921,0.52388483,-0.7008776,0.76213545,0.3958222,-1.5179176,1.4389182,0.7625128,1.2847217,-1.3566921,-2.460001,-0.38915423,2.4696805,-1.1112186,-0.680975,-0.4440267,-0.48584166,-0.26288944,-1.1038026,-1.4840438,0.2214078,1.4569073,-0.76419055,0
-0.8456859,-2.7204773,-2.9480681,-0.43117934,-0.41621178,-0.24697545,-1.1187297,0.29721612,0.6078652,-1.2944103,1.7976836,-0.22933951,-0.757188,0.76356363,2.3503525,0.58372986,-0.8060579,-0.9603871,-2.0753517,-0.17745626,-1.6695268,0.879433,0.5743777,0.8727381,-0.32962006,-1.9255635,-1.4371223,-0.46900514,-0.88758355,-0.11606866,0
-2.8231928,-0.2999593,-2.471678,-0.65912485,-0.16605455,-0.45009926,1.5463434,-1.7832656,-0.51297665,-1.734365,0.88201207,-0.005583495,-1.1102903,1.5436331,0.45329243,1.3028287,-0.094459325,-1.6845782,-0.31485316,2.8519251,-0.2631976,-0.5328405,1.3376818,-0.50137985,0.38061035,-1.2129849,-1.5017791,-0.22822836,0.3529479,-1.0289326,0
-2.6472664,-0.10735682,-0.57552314,-0.64322674,0.12682831,-0.123764545,2.5446796,0.16174054,1.3287283,-1.6830211,0.9406005,0.15622085,-1.3809482,1.6055354,-0.3560207,1.925446,-0.6105838,-2.0089045,-0.8109803,2.1868064,-1.0484694,-1.8315439,0.35737374,-0.5853967,-1.1443005,0.12790024,-2.0204196,0.25404528,0.20382035,-0.93740726,0
-3.1017098,-0.52273816,-2.2353795,1.2323692,0.083075404,-0.78277755,1.2719896,-0.7098525,0.351008,-1.3981212,0.545598,-0.14982352,-1.028487,1.2926397,1.6577152,0.906095,-0.80187887,-1.7624271,-0.5031343,2.222616,-0.35231388,-0.9085796,-0.1200411,-0.06377375,0.41851565,-1.2260956,-1.1352433,-0.51225114,0.5712596,-1.8526874,0
-3.0408533,-0.6414247,-1.4338613,-1.0967556,0.6465038,-0.0077611506,2.6364326,-1.0211374,1.2120845,-1.5840722,0.52524805,0.37059778,-0.90333486,1.8032595,1.1729699,0.8122871,-0.41939196,-1.6239502,-0.007274799,1.7094527,-0.8144081,-0.73669183,-0.088523,-0.15447587,-0.4694376,-1.0544181,-2.134199,0.9085702,0.28164577,-0.90341806,0
-2.6238897,-1.2154822,-1.7255474,-1.0247848,1.9583039,-0.56348,0.66814035,-0.07808566,1.4954796,-1.0012914,0.3498017,0.2410896,-0.77775836,1.6203805,1.0870514,1.4771078,-0.15339029,-2.806689,-0.91968006,0.5189216,-1.9424062,-0.4946298,-1.1701238,-0.031828403,-0.14155865,-1.558957,-2.7593622,0.04156038,0.8419862,-0.60709447,0
-1.5438036,-1.3365557,-1.8383642,-0.6238699,-0.2284853,-0.1000261,1.6385477,-2.1639626,0.2257257,-0.5105074,0.17215592,1.0510492,-0.72285634,0.50881314,2.2635443,0.02408266,-0.47330958,-1.7266138,-0.7971038,2.3385794,0.75809616,-1.6336904,0.089072496,1.0002685,1.0055481,-1.8940696,-0.32932577,0.70350695,0.25523257,-1.557748,0
-3.7623456,-0.5239035,-1.0378503,-0.4474843,0.5072186,-0.20659742,2.4404407,-0.07957618,1.1691495,-0.13908216,0.66172314,0.15070103,-2.016653,2.3621097,-0.024819992,1.5394588,0.23536485,-2.7893112,0.13429558,2.3264792,-1.3250433,-0.9831681,-0.044778407,-0.91318494,-0.8360187,-0.764815,-2.0489624,0.5714201,0.33218563,-0.5448578,0
-0.99348575,-0.7942934,-0.6220509,-0.25907183,-1.1368127,-0.6029347,0.82080626,-1.888149,1.785094,0.0822159,-0.13493091,0.77998734,-0.5159642,0.41848493,-0.023336463,-0.48597884,-2.2487717,-0.64276886,0.210318,-0.9232962,0.77204007,-0.774873,0.9074956,-0.81602085,-0.089434266,0.2443071,0.13151625,-1.361663,0.57478774,1.0250348,0
-1.2652065,-0.8970321,-1.3791336,-1.2221916,-1.6306427,0.48692438,-1.8057103,2.0359726,-1.0854459,-0.73148453,-0.42993617,-0.8281019,-2.263361,3.568233,1.540007,-0.4578017,2.669707,-0.8780929,-0.7306043,-1.2557901,-0.00877516,-0.27678713,0.3396011,-2.8597212,0.054347098,1.4091388,-0.041663967,0.70476294,-2.234833,1.1821634,0
-2.3483932,0.11472544,-2.0724027,-1.3893672,-0.1221773,-1.5888588,2.9955285,-0.920238,1.2999245,-1.202354,-1.5867163,1.0246993,-0.32320836,2.13348,1.7722647,1.50659,0.64479786,-1.194514,0.6021933,1.2898008,0.39341104,-0.49895316,0.95854616,-0.538149,0.40444887,0.9057298,-1.5525495,-2.816239,0.98574376,-0.404522,0
-0.98916656,0.1516585,0.5112808,0.22386247,-1.3503978,0.3552221,-1.9921434,-1.3966739,1.6606765,1.2689731,1.7528619,0.009764478,0.5366454,-3.1369739,1.3933457,-0.4333436,-1.2663965,-2.0698624,0.05358153,-1.3181214,-1.0849555,-0.4429886,-0.16773713,0.06408799,0.03321719,-2.0183363,-0.61767954,-0.2692171,1.066864,0.008790433,0
-0.7780967,-1.6379548,-0.5071567,-0.029659808,-0.005042225,1.7643869,-0.78006065,-0.6323318,0.7212796,0.08560222,3.1150784,0.065898046,-0.313823,-0.44878283,0.99504554,-0.16420907,-1.5954566,-2.1894598,-0.61259484,1.5369676,0.5287161,-0.83041596,-0.5915413,-1.2446548,0.704765,-1.6770633,0.515918,1.2312751,0.5828593,-0.2640136,0
0.39122626,-0.42229316,0.12120396,0.36054492,-2.2312846,-0.7066114,-0.63489294,2.1632679,-0.44170958,-0.5914032,0.67767364,0.3906568,-1.6167889,2.392984,1.9054244,-0.9743409,1.4454832,-1.4184453,-1.0578433,-3.239816,0.33000797,-0.6193441,0.12770504,-0.57387596,0.5387317,1.592215,-0.12386497,-1.2360783,-0.0022959113,2.6252093,0
-1.0518911,-0.024712443,-0.9838823,-1.1933004,-0.55217636,-0.5568185,1.5166904,-0.03599088,0.799687,-1.1513106,-1.3730203,0.13501324,-0.8000707,1.2994905,1.129727,0.6967974,0.8029304,-0.6605136,-0.014129229,-0.89848536,-0.42117953,-0.3582882,1.2011313,-0.3866536,0.4922825,1.305678,-1.0596029,-1.5745229,-0.42060363,-0.87456924,0
-1.6064433,0.6518308,0.30750856,-1.0691897,-1.1915085,-3.0047276,1.0896628,0.03696677,0.8174278,-1.7530904,-1.0284888,0.50327,-0.86016476,1.8472067,1.5465934,0.8278793,1.1614969,0.40681863,-1.0171922,-0.07291329,-1.2626703,-1.2993733,2.2618876,-0.15234214,1.4645233,-0.006887885,-1.3693881,-1.1890863,-0.16998953,-0.6805116,0
-1.0842873,-0.009520024,0.7833425,-2.658328,-1.1479385,-1.3101294,1.2797157,-0.5680914,1.7290125,-2.748033,-1.4600251,0.72584975,-2.0789728,0.69716656,2.201208,0.84416914,3.2004948,-0.6181375,-1.0359783,1.0075284,-1.8424408,0.44709104,2.4464312,0.10087478,0.38593218,-0.44656247,-1.6055496,-0.47681686,-0.6891862,0.09783907,0
-0.35743383,-0.12350875,-0.7798066,-1.8463386,-0.56070554,-1.5459338,1.4718888,0.6351052,0.69974387,-0.9875135,-0.7708473,-0.7495574,-0.676008,0.80356133,1.7141243,-0.77807623,-0.2768064,-0.42016143,-0.6202626,-0.097506404,-1.1041048,-0.6892322,2.42177,0.30777693,1.4561597,2.6679077,-0.20825425,-1.361758,-1.0967535,-1.0439609,0
-2.0014029,0.2997428,-0.43739152,-2.2883058,-0.91266406,-0.8212557,1.7824491,-0.7362807,1.2940197,-0.47920927,-2.6063097,0.28271952,-0.9553327,0.53381133,2.9068534,1.681787,2.6804664,-0.23041408,-1.2091401,0.042981923,-1.2460191,0.15903383,2.1103182,0.6988318,-0.08859444,1.8857466,-2.1933215,-1.6111529,-1.8938085,-0.76713574,0
-2.9006712,0.48383304,0.9733666,-1.3827118,-0.5829085,-2.6745858,0.636246,0.60305125,0.98754054,-1.4344362,-1.1079726,0.3673347,-2.0545514,0.40899575,0.72058535,0.41679177,1.5979688,-1.4968953,-0.12166896,0.42909774,-2.4407773,-0.2478236,0.74096346,-1.1314433,0.24660689,0.34812272,-1.4235663,0.75195014,-0.9464727,0.06593835,0
-2.493945,-0.25338116,-1.0639157,-1.649443,-1.0697334,-1.8447251,0.51227236,0.346097,0.54556906,-0.10817055,-1.4187604,-0.23690519,-1.2781034,2.5574036,1.9048262,1.4184986,1.58428,-1.4167473,-2.2054663,1.1854482,-2.5560746,0.21663588,0.17989016,0.04668647,0.5747272,-0.09761566,-1.5991697,0.65375566,-2.9189444,-0.76875615,0
-1.9582697,0.6474595,-1.3746698,-1.5525452,1.0014238,-2.0496254,1.0967171,-0.41466582,-0.35531276,-0.44075763,-2.0714426,1.471734,-1.6686753,-0.30946428,2.767934,1.7325678,1.6693239,-1.0506728,-1.6450288,2.029211,-0.624331,-0.9694622,1.071521,-0.08298522,0.64341575,0.39622265,-1.5385936,-1.5273644,-1.3514829,-1.8207905,0
-2.8536093,0.52086294,-0.60548043,-0.55910456,-0.3334604,-1.0375625,1.1066867,-1.0548203,1.2483959,-0.83669466,-1.3097572,0.78661406,-0.9270343,1.7522441,1.1440048,-0.20805477,1.9065096,-1.0607259,-1.3695973,1.7556931,-2.0480945,-0.46055406,0.598588,-0.44418535,1.274066,0.62312514,-2.144899,-0.07789087,-1.1592844,0.58730114,0
-1.1705571,-0.096651286,0.26719472,-0.531533,-1.165648,-1.4101322,1.3724144,0.9980052,1.6786864,-1.2125936,-1.494784,0.60434633,-0.49164551,2.7024884,0.63074404,-0.84019077,2.5716763,0.07848835,-0.96437794,-0.32290265,-2.1760685,-0.9519912,1.0164806,-0.41208872,0.7079327,1.6355674,-1.0344889,-0.6180109,-1.3812582,-1.5639964,0
-0.47729734,-0.10741606,0.0027117133,-1.3289802,-0.16920051,-2.5758834,0.8082788,1.1540363,0.8869092,-1.1078626,-2.3938684,1.1894276,-1.7874078,1.3569554,1.801791,0.2664658,2.1975794,-1.5643072,-0.4316506,-0.1471264,-1.0964073,-0.42005694,2.2815442,-0.94211763,0.22279269,0.7691938,-0.9744025,-1.0150448,-1.7153451,-0.12935448,0
-0.068215355,0.38215628,-1.1185524,-2.4589381,-0.460561,-0.498233,0.6308341,0.8410284,0.67714554,-2.006653,-2.7920554,0.5918653,-1.3416407,1.3739573,1.0200123,0.33849093,2.23052,0.6120692,-0.08678482,-0.7853453,-1.8674864,-1.6789587,0.90504473,-1.1717979,0.47472367,2.2236123,-1.2799816,-1.2658868,-1.2824235,0.16476458,0
-0.77431005,0.029457718,-0.48607334,-1.1807137,-1.6911149,-2.531888,0.66614467,0.8674422,1.9456261,-1.6643597,-2.7540805,-0.023578405,-0.5552338,1.7191285,2.0750706,0.46875533,1.054008,-0.8857155,0.6740325,-1.6743816,-1.1785598,0.7331982,1.1436838,-0.00010192394,0.5499913,1.8880547,-0.8069746,-1.2534912,-1.6677846,-0.7852211,0
-1.6025238,0.43977663,-0.25606203,-1.0055104,-0.44266725,-1.0285828,0.35875577,-0.13360816,1.1146184,-2.4980426,-2.9035597,0.029074997,-1.5301387,1.4796393,1.4881911,0.5666486,2.474355,-0.45278692,-0.34846303,-2.1786823,-1.7136542,-0.45591164,1.1710588,-1.0881429,-0.38491982,2.1365714,-0.6075984,-0.93679106,-1.4969769,-0.68347096,0
-0.90468264,1.2703024,-0.08838901,-0.9954761,-0.24284989,-2.7401743,0.6927264,-0.29398507,0.6103743,-0.91828954,-1.8363642,0.5087987,-1.6888667,0.5796865,3.5937433,-0.10240111,2.019772,-1.0840638,-1.3446614,0.055370033,-2.1457076,0.9429634,1.0190967,-0.043632627,2.1967742,0.5602797,-0.59671307,-1.45468,-1.1239182,0.3118171,0
-0.12377828,-0.41337007,-1.655993,-1.6356086,0.20628917,-0.5165961,3.1151922,-0.62630963,0.53958625,-0.84583515,-0.9769427,0.31163824,-0.9055857,-1.024462,1.1609955,0.79093635,0.63351065,-1.2019362,1.1939651,-1.4439673,-0.39612687,-0.7362086,2.3254888,0.3828714,-0.12893271,1.8796432,-1.2268999,-2.327649,1.7522552,-0.6094059,0
-0.76905984,0.39579448,-0.8126037,0.010270745,0.5080164,1.0938638,-0.22078308,1.2994156,0.88596344,-0.81431144,-1.1576728,0.4375434,-0.8929356,1.4233383,2.185522,0.6367738,0.6625182,-2.391766,0.43038836,-2.8178074,-2.81861,-0.74578905,1.1455578,-0.74471176,0.04627955,1.5670539,-0.40677294,-1.119731,-0.24840528,1.345877,0
1.4038932,0.50179803,0.654228,-1.0115826,-2.0787187,-1.5646049,0.7029887,-0.31140056,0.94908464,-2.1153543,-1.468098,-0.28094265,-1.9231906,-0.48059228,1.9632295,-0.34567457,0.0011591911,0.43421632,-0.9148802,0.09738091,-0.43150395,-0.8773341,1.1449461,-0.6159522,0.012643635,2.3140697,-1.1555051,-2.2049758,-0.61149496,-1.4825251,0
-0.44956806,-0.8030062,0.42115942,-1.1207012,0.3440442,-0.22438619,0.76639307,-0.32799307,1.9728614,-1.7437352,-2.6815867,1.9704348,-0.34784508,0.59594107,0.30727005,-0.0611988,1.0006483,0.35805827,-0.08425329,-1.7748011,-0.78544134,-1.1366105,1.1890423,-0.89083594,0.70461655,1.3934814,-1.9124496,-1.2544726,-0.7770951,0.50001967,0
0.37350947,1.128356,-0.122552395,-0.96347564,-1.2386156,-0.75089335,2.0619624,0.56330925,0.13467044,-0.65148604,-2.0434968,0.38934207,-2.391139,-0.4868275,1.6480159,0.5003396,0.94702214,-0.6053603,-0.5624484,-1.657872,-1.6533024,-0.70768917,1.8164666,-0.6234988,0.13731888,3.12516,-0.63063216,-1.3924369,-0.67076236,-0.056001574,0
0.7290267,-0.3711657,1.0988697,-1.0795847,-0.8203936,-0.575209,1.0773569,-0.06745832,0.8947015,-1.8628473,0.36710766,0.16754697,-1.067838,1.9986113,1.1726583,-1.4073093,0.14306003,0.2873487,-0.13168338,-0.6867981,0.29418284,-0.7365472,1.2567871,-2.5623507,-0.235344,1.234158,0.78935605,-1.324578,-0.900165,0.91247916,0
-0.2136026,-0.2832051,-3.3891969,-0.52813077,0.029149354,0.2319969,3.1770127,0.8559417,0.5322553,-0.99982214,-1.3733773,0.37030467,0.08808221,1.1643964,3.200252,0.27634814,2.5150847,-0.07423678,-0.8248754,0.75827265,-0.40605193,0.42752737,1.2603042,-0.91626084,0.73244524,0.14834416,-2.4991636,-0.7381461,-1.3692789,-1.7262095,0
-2.1355262,0.10556719,-1.7478175,-1.8096915,-0.17551838,-1.7695282,1.1961185,0.14622486,1.3108209,-1.5611203,-2.162386,0.31077403,-1.1703912,2.8133235,1.1605312,1.869869,1.4706624,-1.09554,-1.3316329,2.4873276,-2.5389206,-0.3698303,-0.00086063147,-0.38408497,1.081563,-0.49362922,-1.6867133,-0.4479449,-1.3334801,-1.0621396,0
-3.961321,0.33860514,-0.2877663,-1.5430826,0.10544574,-1.6473022,1.8973597,-0.16958669,1.5425264,-0.90831006,-1.351579,-0.03799492,-2.031638,0.96077216,0.34517586,1.8797195,1.9247031,-1.5814784,-1.082489,2.1840177,-1.9739861,-0.85884947,0.39246988,0.281587,-0.15820098,0.035406917,-2.014759,-0.3997712,-1.4375057,-0.80302405,0
-0.8995793,1.1820226,0.67561054,-1.4888908,-0.11200577,-2.482075,1.6102157,-0.04233648,1.0201689,-2.0087607,-1.6257495,1.8062103,-1.5728161,1.5363954,1.7295029,1.3461233,1.1147931,-0.769441,0.18917915,-0.024366647,-3.0648181,-0.61987543,1.5499923,-0.4413535,-0.073218405,1.1459144,-2.057341,-2.1595707,0.22038686,-1.5241078,0
-1.9780718,-0.58904076,-1.7948698,-0.23592933,0.28112692,-1.5510125,1.2161146,0.6375646,1.6229938,0.82713205,-0.5707324,0.5483942,-1.7177098,-0.29067528,1.5440583,-0.15410957,0.8533041,-2.5717382,0.17354956,-0.30103618,-1.3693244,0.5064754,0.36611682,0.12576616,0.74485,1.3030849,0.18146905,0.4568785,0.7929721,-0.2667878,0
1.6117761,0.043242484,-1.5914241,-1.0472494,0.14878708,-0.3711671,0.2517963,0.98185927,1.0256498,-0.3564471,0.04107644,0.58949804,-0.93065023,1.1679561,2.20273,0.68060994,0.6533875,-0.011483043,-0.5945331,-2.9533944,-1.5334569,-0.17455178,1.0462456,-0.4565885,0.73030394,2.0520663,-1.7166042,-1.4600642,-1.376434,0.13934898,0
-1.094536,0.48512265,0.67421055,0.09336206,-0.27160537,-3.2230737,1.5882406,0.631974,1.9674543,-0.9672825,-0.9480217,1.6609079,-0.99153847,0.7753285,1.6519744,0.015874803,1.9054496,-1.3274739,-0.8679653,0.68379915,-1.3492244,-0.9202033,0.45434806,-0.84867793,0.6313568,1.0167624,-1.6460222,-0.69198596,1.1068056,-2.2740579,0
-1.0552305,-0.88992953,-0.10788074,-0.64381444,-0.30213597,-0.8039793,1.4562535,0.15592706,0.9635521,-0.5588506,-0.84583014,0.18062802,-0.4901641,1.0530481,0.2993765,0.6568562,0.8385541,-1.0358698,-0.31611142,0.27413878,-0.87834924,-0.6453012,0.59169835,-1.3110006,-0.006164551,-0.37571922,-1.2073259,-0.4596152,-1.1302056,-0.08867949,0
-1.3238955,0.5184603,-0.5342796,-1.1149209,0.25958592,-1.5184823,2.1059086,0.7135144,1.0805773,-0.5232773,-1.7183189,0.2814864,-2.1444523,1.6476113,0.20223904,1.7675114,0.23398381,-1.4612825,-0.72041804,-0.34344715,-2.5648377,-1.130737,0.9858439,-0.6536604,0.030057788,1.126783,-1.5024998,-0.26664764,-0.63883454,0.7307002,0
